measure_id,level_code,level_label,min_score,max_score,color_hex,icon_name,description,sort_order
stab,green,Green,0,39.99,#9FDD49,face-smile,다른 보육교직원에 비해 심리적 안녕감이 높다고 응답하였습니다. 따라서 자기 삶의 조건들이 좋은 편이라 생각하며 자신의 생활을 이상적으로 생각하는 모습이 예상됩니다. 삶에서 일어나는 일에 만족,1
stab,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 심리적 안녕감이 보통이라고 응답하였습니다. 따라서 대체로 자기 삶의 조건들이 좋은 편이라 생각하나, 가끔은 자신을 긍정적으로 생각하기 어려울 것으로 예상됩니다.",2
stab,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 심리적 안녕감이 낮다고 응답하였습니다. 따라서 자기 삶의 조건들이 안 좋은 편이라 생각하거나, 자신을 부정적으로 생각할 것으로 예상됩니다. 삶에서 일어나는 일에",3
anxi,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 불안과 우울감이 낮다고 응답하였습니다. 즉, 초조함이나 조마조마함, 불필요한 긴장과 걱정이 적어 보이며, 일상을 따분하고 지루하게 느끼는 기분이나 희망이 없다고",1
anxi,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 불안과 우울감이 보통이라고 응답하였습니다. 따라서 초조함이나 조마조마함, 불필요한 긴장과 걱정을 할 때가 가끔 있으며, 일상을 따분하고 지루하게 느끼는",2
anxi,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 불안과 우울감이 높다고 응답하였습니다. 따라서 초조함이나 조마조마함, 불필요한 긴장과 걱정을 할 때가 자주 있으며, 일상을 따분하고 지루하게 느끼는 기분이나 희망이",3
soma,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 신체화 경향이 낮다고 응답하였습니다. 따라서 신체 통증(두통, 근육통 등), 소화 관련 증상, 수면 관련 증상 등을 경험이 많지 않습니다. 이와 같은 신체적 증상은 신체적",1
soma,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 신체화 경향이 보통이라고 응답하였습니다. 따라서 다른 사람들과 비슷한 수준의 신체 통증(두통, 근육통)을 경험할 수 있고, 소화가 잘 안되고 체한 느낌이 들 수",2
soma,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 신체화 경향이 높다고 응답하였습니다. 따라서 다른 사람들보다 상당히 많은 신체 통증(두통, 근육통 등), 소화 관련 증상, 수면 관련 증상 등으로 힘들어할 수 있습니다. 보다",3
adhd,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 주의집중의 문제가 적다고 응답하였습니다. 따라서 업무를 볼 때나 일상생활에서 주의 집중력의 어려움을 적게 겪고, 세부 사항에 대해 놓치거나 부주의한 실수가 적으",1
adhd,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 주의집중의 문제가 보통이라고 응답하였습니다. 따라서 업무를 볼 때나 일상생활에서 가끔 주의를 집중하기 어려울 때가 있고, 세부 사항에 대해 놓치거나 부주의한 실수를",2
adhd,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 주의집중의 문제가 높다고 응답하였습니다. 따라서 업무를 볼 때나 일상생활에서 자주 주의를 유지하기 어렵고, 세부 사항에 대해 놓치거나 부주의한 실수를 할 때가",3
exec,green,Green,0,39.99,#9FDD49,face-smile,"다른 보육교직원에 비해 실행기능이 높다고 응답하였습니다. 따라서 시간 관리능력, 문제 해결력, 조절력 등이 적절합니다. 이로 인해 스스로 일을 잘 처리할 수 있으며 감정도 효과적으로 잘 처리하",1
exec,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 실행기능이 보통이라고 응답하였습니다. 따라서 시간 관리능력, 문제 해결력, 조절력 등이 보통일 것으로 예상됩니다. 대체로 자신의 일을 스스로 처리하나 가끔 주변의",2
exec,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 실행기능이 낮다고 응답하였습니다. 따라서 시간 관리능력, 문제 해결력, 조절력 등이 낮을 것으로 예상됩니다. 이로 인해 자신의 일을 처리하기 위해 주변의 지도와 격려가",3
flex,green,Green,0,39.99,#9FDD49,face-smile,다른 보육교직원에 비해 인지적 유연성이 높다고 응답하였습니다. 따라서 개인이 경험하는 상황의 다양한 특성을 다각도로 생각해 볼 수 있겠습니다. 이로 인해 개인적인 일은 물론 기관에서의 업무나,1
flex,yellow,Yellow,40,64.99,#FFC94D,face-neutral,다른 보육교직원과 비교하여 인지적 유연성이 보통이라고 응답하였습니다. 따라서 개인이 경험하는 상황의 다양한 특성을 다각도로 생각할 수 있으나 가끔은 개인적인 일은 물론 기관에서의 업무나,2
flex,red,Red,65,100,#F25C4A,face-frown,다른 보육교직원에 비해 인지적 유연성이 낮다고 응답하였습니다. 따라서 개인이 경험하는 상황의 다양한 특성을 다각도로 생각하기 어려워하며 경직된 방식으로 판단할 수 있겠습니다. 이로 인해,3
mana,green,Green,0,39.99,#9FDD49,face-smile,다른 보육교직원에 비해 대처능력이 높다고 응답하였습니다. 따라서 개인이 경험하는 스트레스에 대처하는 방식이 유능하고 융통성이 있겠습니다. 스트레스를 해결하기 위해 주변 사람들에게 도움을,1
mana,yellow,Yellow,40,64.99,#FFC94D,face-neutral,"다른 보육교직원과 비교하여 대처능력이 보통이라고 응답하였습니다. 따라서 자신이 처한 스트레스 상황에 적절한 해결책을 모색하여 실행하기도 하지만, 문제 해결을 위해 주변에 도움이나 지지는",2
mana,red,Red,65,100,#F25C4A,face-frown,"다른 보육교직원에 비해 대처능력이 낮다고 응답하였습니다. 따라서 스트레스 상황에 적절한 해결책을 스스로 모색하여 실행하기 어렵고, 문제 해결을 위해 주변에 도움이나 지지를 요청하는",3
